微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IxGEn1wR9,用小米10 Pro 玩目前最热门游戏，散热表现非常不错，有空看看视频！小米手机的秒拍视频 #小米10#  ,无,"http://miaopai.video.weibocdn.com/ptRPbl2olx07BxmB0KqQ01041200jrp20E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151578&ssig=Vos%2B1QQZ%2Bn&KID=unistore,video",无,2020-03-08 19:35,小米10 Pro,6010,112,1311
IxEoLvqYs,花开了……  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gcmh3iftqwj20u0140mza.jpg,无,无,2020-03-08 13:51,小米10 Pro,9593,137,1332
IxCGw4znz,#小米10# 不仅是一部高端旗舰手机，也是一部非常好的游戏手机！- 强悍的性能和强大的散热系统- 大电池+快充- 90Hz刷新率+180Hz触控采样率- 对称式立体声- MIUI 游戏工具箱直接开启吃鸡90帧模式，用小米10打开8倍镜时，屏幕非常流畅！小米手机的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/8zfAMPjAlx07BpatX11e010412001TCe0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151579&ssig=bTz5QjuVug&KID=unistore,video",无,2020-03-08 09:29,小米10 Pro,6041,257,1565
IxySLys47,【周末小调查】手机功能越来越强大，但手机大小和重量严重受限，如下几个功能，如果只能有一个，大家会选哪个？ 大家最需要哪个手机功能？  ,无,无,无,2020-03-07 23:48,小米10 Pro,124966,329,3107
IxwTXjlhi,"1/1.33""#小米10# 依然是高端旗舰机中最大的“底”，相机的画质首先取决于“底”(感光元器件的尺寸)。  原图 ",http://wx4.sinaimg.cn/large/68418ffbly1gcl8h5sj40j21400u0gp4.jpg,无,无,2020-03-07 18:45,小米10 Pro,8566,152,1616
IxtQjqD4F,周末做个小调查：高速无线充电#小米10# 高端旗舰机是否需要高速无线充电？  ,无,无,无,2020-03-07 10:58,小米10 Pro,112886,222,1883
IxtgksjhQ,周末快乐！稍纵即逝的美，摄影的乐趣，就是发现并抓住稍纵即逝的美。随身携带一亿像素的#小米10# ，随时把你眼中的美定格下来。  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gcl3x9q342j21400u0gqb.jpg,无,无,2020-03-07 09:30,小米10 Pro,4334,115,846
Ixol6uIFO,我们正在商量是不是增加小米10系列产品订单，大家出出主意。#小米10#系列，全系标配LPDDR5和108MP+OIS 你认为我们应该增加哪款的订单？  ,无,无,无,2020-03-06 20:58,小米10 Pro,107650,303,2550
IxnMumu5J,最近有不少新机发布……附上小米10 简单参数表，供大家参考。#小米10# 不仅有骁龙865和双曲面的专业屏幕，还有108MP相机、对称式的立体声、4780mAh电池和MIUI 11 等。 全系标配高速无线充电、LPDDR5和红外遥控。  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gcfb5tlofuj20u0140wis.jpg,无,无,2020-03-06 19:32,小米10 Pro,16818,314,2374
Ixlv61c7w,看到一张法国滑雪场的照片……  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gcglxr4z2dj21h90u0aj6.jpg,无,无,2020-03-06 13:44,小米10 Pro,6086,63,648
Ixe8DhXW4,这个厉害：NASA，18亿像素，火星高清全景图！#NASA发布18亿像素火星高清全景图#NASA发布“好奇”号火星车拍摄的18亿像素火星地表高清全景图。该照片由一组长焦镜头拍摄的地形照片和一组中景镜头拍摄的火星车自拍组成。(澎湃新闻) 澎湃新闻的微博视频  ,无,"http://f.video.weibocdn.com/001DnyTXgx07BsBvtM5i01041200rf3f0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586151580&ssig=jKeyH97vM0&KID=unistore,video",无,2020-03-05 18:59,小米10 Pro,8726,774,954
Ixd3c4GN7,全新小米10潮流手机壳来了！喜欢吗？#小米10#  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gcj4cxem9uj20u013zjsv.jpg,无,无,2020-03-05 16:13,小米10 Pro,16109,230,3509
Ixcb52SDB,把#1亿像素拍地球# 的照片做手机壁纸，就能随时欣赏蔚蓝的太平洋、广袤的非洲大陆、纯净无暇的南极冰盖……这感觉真不错！#小米10#  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gciyfxd4buj20fh0km0tv.jpg,无,无,2020-03-05 14:00,小米10 Pro,2347,54,491
IxbHnfP86,再放一张小米10发布会上的样片：这是俯拍的大厅照片，倒映的光影感觉像是一位威武的巨人。同时镜头有超强的解析力，这么远距离拍摄大理石纹路清晰可见。  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gc6nxrkyn2j21400u0jwa.jpg,无,无,2020-03-05 12:47,小米10 Pro,3039,43,497
Ixb4KfR4j,在友商指定的赛场，在友商先跑三年的前提下，经过三年不懈的努力，小米第一次在DXO相机测试上超越了友商！中国企业之间的相互超越，一定会推动中国科技的快速进步，消费者也可以享受更好的产品！#小米10#  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gcfay3kfwcj20u0140428.jpg,无,无,2020-03-05 11:12,小米10 Pro,14916,515,2451
IxaPVjle0,"推荐一个神器：小米移动电源3，10000mAh,  支持50W快充！小米商城有货。这个充电宝充#小米10pro#，45分钟充满。也支持充笔记本电脑，外出带一个实在太方便了！强烈推荐！  原图 ",http://wx4.sinaimg.cn/large/68418ffbly1gcgxvmenzrj20u014078h.jpg,无,无,2020-03-05 10:35,小米10 Pro,2746,67,651
Ixa5TqjlR,已经设计好的#小米10# 发布会邀请函，因为疫情改成直播发布会后，没有真正用上。这么豪华的邀请函，我来开个箱   原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gci31d148nj20u0140n1t.jpg,无,无,2020-03-05 08:42,小米10 Pro,10449,294,1819
Ix4RPpWRN,仔细看了@手机之家iMobile 整理的表(见附图)：#小米10# 支持30W无线充电，是目前所有高端旗舰机中最快的，1个多小时就可充满！无线充电已经成了高端旗舰机的标配！大家同意吗？  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gci0sklxurj20u01hctcp.jpg,无,无,2020-03-04 19:23,小米10 Pro,4203,313,919
Ix43dAMmR,生活可以被疫情影响，但是我们绝不能被疫情打败！摄影师：@莫安平凡 Shot on: #小米10pro# 电影模式 手持拍摄 北京莫安平凡的微博视频  ,无,"http://f.video.weibocdn.com/0Z65YCNQlx07BqMJ3hFS01041200wxM80E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586151582&ssig=FeQfuFlvrC&KID=unistore,video",无,2020-03-04 17:19,正能量 · 视频社区,2456,99,328
Ix2NGhRss,#1亿像素拍地球# 第二波照片来了！#小米10#一亿像素带来了更多的震撼视角：地球昼夜交替的奇妙瞬间、冰雪奇缘般的壮阔南极、还有让人心动的热带风情.……#手机壁纸#  [组图共9张] 原图 ,"http://ww1.sinaimg.cn/large/68418ffbly1gchuh7ixfgj20u01t0amq.jpg,http://ww1.sinaimg.cn/large/68418ffbly1gchuh7x7vtj20u01t0asw.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gchuh8fet7j20u01t0wyz.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gchuh8trrsj20u01t0e38.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gchuh98x3rj20u01t0e0j.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gchuh9ogpyj20u01t0axh.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gchuha4donj20u01t0kbc.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gchuhaioj8j20u01t0arb.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gchuhawl7xj20u01t0ncn.jpg",无,无,2020-03-04 14:08,小米10 Pro,6902,658,1161
Ix21kv1oN,好消息：#小米10pro#，现在可以升级DXOMARK相机版本，感受一下 DXOMARK 拍照和视频双第一的强大体验。此次升级将陆续开放，没有收到的米粉请耐心等待。把系统版本升至【稳定版V11.0.12】即可。 我们很快也会升级小米10的相机。  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gchrmd0gurj20u0140n0m.jpg,无,无,2020-03-04 12:08,小米10 Pro,11159,244,1808
Ix1JOwY73,大家都说#小米10# 一亿像素拍地球的照片非常震撼。我们又收到了一批刚刚发回来的全新地球照片，下午2点准点放出。小米手机的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/WSkxCVaPlx07BqIbcXNC01041200myF80E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151583&ssig=FbPFFLgsBP&KID=unistore,video",无,2020-03-04 11:25,小米10 Pro,5013,227,832
Ix0AByRIF,在家里，如何用#小米10# 拍大片？小米手机的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/jgcwZ6Pilx07BpHF8pkY01041200ei9x0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151594&ssig=luOcjRGI9D&KID=unistore,video",无,2020-03-04 08:30,小米10 Pro,3518,172,594
IwVQdDVsZ,附上几张#黑鲨3# 渲染图。专业游戏手机，这个颜值不错吧？黑鲨3 Pro，(图1)幻影黑，神秘的亘古原力(图2)铠甲灰，斩破冰封王座的利刃黑鲨3，(图3)闪电黑，永恒不变的纯粹  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/68418ffbly1gcgxj1ekhwj20u0140n06.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gcgxj17utoj20u0140q7w.jpg,http://ww1.sinaimg.cn/large/68418ffbly1gcgxj0zxfkj20u0140gnq.jpg",无,无,2020-03-03 20:25,小米10 Pro,8924,184,1714
IwVBKwsht,大家在看#黑鲨3# 直播发布会吗？  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gcgzd2uk1tj20ug0fygwg.jpg,无,无,2020-03-03 19:49,小米10 Pro,5744,79,857
IwV96jBmj,今晚七点半黑鲨3直播发布，一部专业游戏手机，还有腾讯加持。你会看直播吗？#黑鲨3# 今晚你会看黑鲨3直播发布会吗？  ,无,无,无,2020-03-03 18:38,小米10 Pro,17482,65,644
IwUIh1cpc,今晚#黑鲨3# 发布会，@死胖子王建国 来做新品的开箱吐槽活动。欢迎大家观看直播。关于黑鲨3还有啥想了解，可以直接@黑鲨罗语周  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gcglrqru55j20u0140jwv.jpg,无,无,2020-03-03 17:32,小米10 Pro,3612,96,523
IwUkvpQA7,#小米10pro# 四颗光学镜头接力变焦，实现了专业变焦镜头的效果。小米10 Pro 有0.6倍广角和2倍人像，还有10倍混合变焦、50倍数码变焦的镜头，实现“望远镜”效果。  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gcfb2zu1izj21400u0gor.jpg,无,无,2020-03-03 16:34,小米10 Pro,4266,95,788
IwTZM1nsI,新西兰教堂湾，摄影师在这里用#小米10# 1亿像素主摄拍摄的样片，一位帆板的爱好者等待出发。当切换成0.6X超广角相机再拍摄一张时，发现这里别有洞天。  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/68418ffbly1gc6ny5i13kj21400u0ahn.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gc6ny5sk0wj21400u0wji.jpg",无,无,2020-03-03 15:43,小米10 Pro,2903,70,458
IwS84kjpR,1亿像素8K电影相机#小米10#  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gcfb2f65hwj21400u0wjq.jpg,无,无,2020-03-03 10:58,小米10 Pro,3060,69,701
IwRycu5vB,别忘了：小米10 Pro，小米商城10点开售！http://t.cn/A6h4DPni  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gcghfnv1phj20u012uad6.jpg,无,无,2020-03-03 09:29,小米10 Pro,4332,120,1443
IwQU0A3Pj,#小米10#系列手机的最佳拍档：小米30W立式风冷无线充。实测：小米10的4780mAh充满100%，仅69分钟！无线充电真方便！小米手机的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/4BrtlhIclx07BokQ94Lm010412003eOr0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151595&ssig=0prkTuCjzK&KID=unistore,video",无,2020-03-03 07:50,小米10 Pro,3025,100,685
IwNAM8wIS,周一我们刚发布了新的技术进展，40W无线充电技术，40分钟就可以充满100%。又有好消息：WPC无线充电标准联盟，小米工程师当选联盟RWG联席主席。WPC 无线充电标准联盟，负责制定全球无线充电技术和测试标准，是由全球500多家会员公司组成。小米在无线充电技术上处于全球领先，更多见附图。 #小米10#  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gcfzx0mt6vj20u014077s.jpg,无,无,2020-03-02 23:25,小米10 Pro,6521,386,985
IwMmTxA4y,我们在微博上已经“被关门”好多次了  #小米10#  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gcfb7ogq57j21400u0whq.jpg,无,无,2020-03-02 20:18,小米10 Pro,17149,337,1398
IwLr7DHBn,#小米10# 用1亿像素相机拍摄，即使是夕阳下拍摄人物，暗部的细节也非常好，甚至能看清每根睫毛。  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gc6nyizbi3j21400u0gnb.jpg,无,无,2020-03-02 17:55,小米10 Pro,2799,51,551
IwKOLbW4E,今天我们发布了无线闪充技术新进展，40W无线充电技术，20分钟充 57% (约2280mAh)，40分钟充 100% (4000mAh)。这是无线充电的新记录！一起来看看小米在充电技术的发现历程！    #小米10#  从米1到米10，回顾小米充电发展史！  ,无,无,无,2020-03-02 16:21,小米10 Pro,3479,93,607
IwK6Dw3Hb,小米无线闪充技术新进展：40W无线充电+MI-FC闪充技术，充4000mAh电池，20分钟充57% (约2280mAh)，40钟充100%。常程的微博视频  ,无,"http://f.video.weibocdn.com/veXgeEmTlx07BnMd6lok010412002Mhg0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586151597&ssig=c3%2BeJ2PaBE&KID=unistore,video",无,2020-03-02 14:32,科技 · 视频社区,5773,166,906
IwHQ12NBI,立式风冷无线充30W，小米商城明天到货！抱歉，晚了几天。  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gcf9ezo37rj20u014077s.jpg,无,无,2020-03-02 08:46,小米10 Pro,9333,118,1686
IwCxq4FB1,这是在落日前，用小米10拍摄的一张人像样片，照片整体非常明亮。此时，夕阳的光线恰好照在女孩的面部，将她面部细节、轮廓勾勒的非常清晰。倒映在眼镜上的夕阳以及口红的颜色，也都表现出小米10 出色的色彩还原能力。放大再看，唇纹清晰可见。#小米10# 1亿像素主摄，拍人像也相当不错！  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gc6nuqqr3zj21400u0q74.jpg,无,无,2020-03-01 19:16,小米10 Pro,6521,118,1140
IwBXo8TCO,#小米10# 这个功能特别受欢迎，尤其是上网课的同学们：拍完文档后，智能去阴影，并增强文字，矫正畸变。论坛里米粉们反馈的了这个需求，然后我们立刻就研发了这个功能。如果大家对相机和相册的某个功能不满意，或者需要什么新功能，可以直接找@Queena_king 。  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gcekl93qe6j21400u0gq8.jpg,无,无,2020-03-01 17:47,小米10 Pro,5291,159,1031
IwAtFms5K,我们相机部产品经理@Queena_king 刚发了一段视频：用小米10慢快门的手法拍车流，是不是很有王家卫电影镜头感呢？我一直督促相机部的产品经理到微博上来，直接听取大家意见来改进产品。我们的相机不仅要在DXOMARK测试中拿第一，更要让米粉们叫好！Queena_king的微博视频  ,无,"http://f.video.weibocdn.com/e3PLPOZ6lx07Bm9F4UQ0010412004pAS0E010.mp4?label=mp4_hd&template=1080x450.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151617&ssig=dPL%2F3bwTua&KID=unistore,video",无,2020-03-01 14:01,小米10 Pro,3170,137,594
IwyO3n4Qz,周末了，看看漂亮的风景吧……这是#小米10# 拍的照片： 一个游艇码头，密密麻麻的船。我们放大看，可以看清清每个船上的名字。其中有条船叫 Dismiss，大家知道这个单词的意思吗？我很好奇船主怎么会取这样的名字？  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gc6nvs75rgj21400u0ahm.jpg,无,无,2020-03-01 09:46,小米10 Pro,3223,64,609
Iwy4g0IlO,#小米10# 英语好的同学可以看看老外做的开箱视频。常程的微博视频  ,无,"http://f.video.weibocdn.com/QbwVihhtlx07BixxjFMs01041200CeiJ0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586151617&ssig=OLnfDLN1mg&KID=unistore,video",无,2020-03-01 07:53,评测开箱 · 视频社区,4175,167,712
IwtQ18gB0,【MIUI】米粉们都知道：MIUI是小米手机核心。#小米10# 搭载的MIUI，玩游戏、看电影时候，来消息可以自动浮窗显示，就不用手忙脚乱了！  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gcdb02qhlqj20u0140q5u.jpg,无,无,2020-02-29 21:07,小米10 Pro,24911,278,2628
IwtxMgTnQ,小米6的钉子户们，大家如何看对小米10，还有啥不满意的，留言说说？#小米10# 小米6钉子户  ,无,无,无,2020-02-29 20:22,小米10 Pro,168631,1001,8633
Iwt19lvov,今天是个特别的日子，拍张照片纪念一下！  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gcdh4zzev9j21400u0jxf.jpg,无,无,2020-02-29 19:02,小米10 Pro,11275,627,1808
IwszautDK,#黑鲨3# 专业游戏手机，最新支持双区压感，分区操作，灵敏度、可操控面积全面提升。黑鲨为了玩家操碎了心！现在预约👉http://t.cn/A67LcfO3  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gcd8h20kirj20u00mi0v1.jpg,无,无,2020-02-29 17:53,腾讯黑鲨3,5177,96,697
Iwruu32xa,#黑鲨3Pro# 机械按键、屏幕压感两种方式，可同时使用。机械按键可以在不影响屏幕操作的情况下高频点击，再结合屏幕压感的辅助性操作，玩游戏战力加倍。 比如射击游戏，机械按键负责常用的射击、开镜等功能，蹲、趴、跳跃、切换瞄准镜等由屏幕按压完成，两种方式配合，媲美端游的6指操作。比如在移动中瞬间完成下蹲探头并开镜瞄准射击，一气呵成。再比如MOBA类游戏中，左侧按键可以用于补刀，右侧按键用于补塔，实现零误触，在混战中也能轻松完成精准操作，而屏幕压感可用于购买装备，使用治疗技能，辅助战斗，极大的减少游戏过程中的干扰操作。这个升降式机械按键，平时隐藏，游戏中可呼出或隐藏。经过可靠性测试，超过33万次升降和100万次按压的使用寿命。让玩家真正体验到人机合一的掌控感。#和平精英# 黑鲨关二爷的微博视频                                 ,无,无,无,2020-02-29 15:09,手机平板 · 视频社区,4673,266,932
Iwr0V5KCM,#黑鲨3Pro# 黑鲨用升降的方式做了两个实体机械按键，平时隐藏，玩游戏时候呼出，跌落时候会自动收回。用手机玩游戏，第一次有了掌机的感觉。看来专业游戏手机，名不虚传！喜欢这个设计的游戏迷，请留言！黑鲨罗语周的微博视频  ,无,"http://f.video.weibocdn.com/Kr0PTSSmlx07BiJNaYCc010412002I9W0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151640&ssig=xSdB%2B2URaK&KID=unistore,video",无,2020-02-29 13:56,腾讯黑鲨3,5375,341,1052
Iwpge6SZf,#小米10# 搭载 MIUI 11 手机系统，其中非常受大家喜欢的AOD息屏显示，你了解吗？开启AOD息屏显示功能，不仅有官方提供的大量精美图案、动图可以选择，还可以自定义文字、图片和动图。这么有“态度”的手机，喜欢吗？小米手机的微博视频  ,无,"http://f.video.weibocdn.com/dGf2RXf4lx07Bjw9ouco01041200hYQH0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151646&ssig=yHcCo0dGTx&KID=unistore,video",无,2020-02-29 09:28,小米10 Pro,3736,293,980
IwkAme5At,今天是小米10系列第五次开放购买，小米10的现货，另加 8G+256G 版的全款预售，到现在为止，又接近10万台了！这两天不少人在讨论小米10的成本，我也说说：小米10成本确实比想象得高，骁龙865比上一代贵一倍，我们定制的双曲面专业屏幕比AMOLED硬屏贵很多，还有108MP+OIS相机模组，还有……做高端旗舰，堆料要狠！小米10 能够定价3999元起，绝对是小米价值观的体验！高端旗舰，不仅仅是堆料，更重要的是极致的用户体验，我更希望大家关注小米10的体验：比如，最近学生上网课，需要交作业的照片，我们的“智能拍文档”，可以去阴影，矫正文档的畸变。比如，我们解决了安卓手机的顽症“自动亮度”。还有，手机基本不发热了，就是长时间玩游戏，机身温度控制也非常出色。等等。#小米10#                  原图                             ,http://wx2.sinaimg.cn/large/68418ffbly1gcc2f4d5ibj21400u00w4.jpg,无,无,2020-02-28 21:34,小米10 Pro,10089,520,2407
IwivSoOdP,现在5G网络正在大规模建设中，如果你现在想买新手机，你会买什么呢？ 5G手机目前也支持4G套餐。关于买5G手机的调查  ,无,无,无,2020-02-28 16:17,小米10 Pro,80668,151,1399
IwhQSxBlr,喜欢这个壁纸的人非常多，是不是都是理工男？#小米10#  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gcc069bwijj20u0140n12.jpg,无,无,2020-02-28 14:36,小米10 Pro,6800,127,1377
IwhedepJl,升降式游戏按键，我亲自测了一下，玩了几把吃鸡，手感非常好！#黑鲨3#  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gcbzpkc4u4j20t10lsdgq.jpg,无,无,2020-02-28 13:01,小米10 Pro,11239,146,1238
Iwh1Yp3EF,黑鲨3 Pro 专业游戏手机，升降式游戏按键！支持升降式机械游戏按键，人体工学曲面设计贴合各种手型；按键反馈零延时、零误触；按键智能升降。左右手各一个游戏按键，用这个玩吃鸡，右手按键开镜，左手按键射击，太好用了！#黑鲨3# #和平精英#  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gcbc03o6d1j20u00midhp.jpg,无,无,2020-02-28 12:31,小米10 Pro,6647,119,808
IwgMldESZ,今天晚上 8 点，你们去天猫直播练练带货本领吧！@常程 @Cici_老魏 @小米陆柒柒 关于#小米10# ，大家有什么关心的问题，这里可以提问，今天晚上请他们来回答。  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gcbz3r7nvyj20u0140gpv.jpg,无,无,2020-02-28 11:52,小米10 Pro,6747,466,863
IwfxplbAU,#小米10# 1亿像素不仅能拍超高解析力的照片，作为25mm焦段，还非常适合拍摄人文。样片中的年轻人骑车走在东京的街头，错落的光影与明暗相接的街道，仿佛时间静止了一样，我们可以感受到那份宁静。光影拍摄最考验镜头能力，可以看到这张图的光影表现非常细腻。  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gc6nx897mtj21400u043s.jpg,无,无,2020-02-28 08:43,小米10 Pro,3301,102,945
IwfvfupIY,@萧影殿下 用#小米10# 1亿像素8K相机拍的MV：玫瑰人生La via en rose 导演/美术/脚本/摄像/制作 @萧影殿下舞蹈 冯老师(@天才少女pororo ）后勤@未闻罂花名 @Mid-Air_拍视频的苦力白菜 原振幅：izone   萧影殿下的微博视频  ,无,"http://f.video.weibocdn.com/003VGDrtgx07BhY9omLR01041200Y37Y0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151658&ssig=av6khLODd6&KID=unistore,video",无,2020-02-28 08:38,小米10 Pro,6112,453,800
Iw7OR0Mm1,一个包装盒，只需要一张卡纸或瓦楞纸板折叠，没有辅料支撑，甚至不需要胶水，组装简单，能降低约40%成本，非常环保的方法。这就是One Paper Box，“一纸盒”，小米设计的环保包装方法。斩获日本优良设计奖 Best 100和德国iF设计奖。#小米设计#  在我们看来，“包装”无小事！  ,无,无,无,2020-02-27 13:04,小米10 Pro,6749,278,962
Iw744rMx6,#黑鲨3# 双电芯(主板在中间，电芯放两边)，串充并放的新技术。4720mAh，65W，15分钟充电达2780mAh。Pro版5000mAh。(1) 充电快，尤其前15分钟，适合急速充。(2) 电池充电循环次数大幅度提升。(3) 背部磁铁吸附式充电，一边充电一边玩游戏。为了玩家，黑鲨真是操碎了心！3月3日发布。  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/68418ffbly1gca98zes6vj20u013snlt.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gca990bb6nj20u0140q59.jpg",无,无,2020-02-27 11:09,小米10 Pro,7625,195,1131
Iw6Pg4KRl,正在打游戏，快没电了，咋办？这个方法一定帮到你，一边打游戏一边充电，还是背部磁铁吸附式充电，打游戏不碍事！同时手机下边还有Type-C充电口和耳机孔。#黑鲨3# 黑鲨罗语周的微博视频  ,无,"http://f.video.weibocdn.com/xnu6iDUvlx07Bh9tB3qg010412001HGj0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151661&ssig=9D0GTw%2Bxst&KID=unistore,video",无,2020-02-27 10:32,小米10 Pro,7798,483,1233
Iw6f47IVy,我们拍了一张拆掉后盖的小米10，用来做壁纸，是不是像透明版手机？附上照片，大家有空试试。#小米10#  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/68418ffbly1gca3550x2zj20u01t0qby.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gcap86pz74j20u00xjdj2.jpg,http://ww2.sinaimg.cn/large/68418ffbly1gcap87edocj20u0140tdm.jpg",无,无,2020-02-27 09:03,小米10 Pro,8582,981,1860
Iw5NvwfV7,#小米10# 透明版   原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gca557cv5oj20u0140tdm.jpg,无,无,2020-02-27 07:55,小米10 Pro,8476,155,1910
Iw2dYta1c,感谢@高子岩  拍摄的小米10“云鉴赏”视频，非常美！#小米10# 高子岩的微博视频  ,无,"http://f.video.weibocdn.com/rY7DyBj7lx07BfLI9OJy01041200adYx0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586151681&ssig=DfKBvuPWR8&KID=unistore,video",无,2020-02-26 22:49,手机平板 · 视频社区,2825,103,501
Iw1T02pvV,小米GaN充电器65W，黑科技充电器，苗条又轻盈，能充手机还能充笔记本电脑。如果经常出差的话，建议买两个！@姚亮Frish 测了一下重量和宽度：图1  苹果电脑充电器61W     重193g / 宽74mm图2 小米10标配充电器65W  重112g / 宽54mm图3 小米GaN充电器65W      重85g  / 宽31mm#小米10#  [组图共3张] 原图 ,"http://ww3.sinaimg.cn/large/68418ffbly1gca2uuyaejj213z0u0782.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gca2uty5kbj213y0u0jv0.jpg,http://ww2.sinaimg.cn/large/68418ffbly1gca2uud0gij213z0u0789.jpg",无,无,2020-02-26 21:58,小米10 Pro,5324,117,1009
IvYsREqtI,"108MP+OIS, 一颗硕大的相机模组。#小米10#  原图 ",http://wx4.sinaimg.cn/large/68418ffbly1gc9kc3h29sj21400u0gp4.jpg,无,无,2020-02-26 13:15,小米10 Pro,5602,154,1110
IvXOtFX12,关于专业游戏手机，我收集了很多游戏玩家的意见：(1)高性能，并且持续高性能。玩游戏时间一长，手机很容易发热，速度就会慢，显示就会掉帧。(2)大电池，充电快，还要很好支持边充边玩。(3)屏幕显示要流畅，再加上游戏跟手性，指哪打哪！(4)真立体声，最好加上3.5mm耳机孔。(5)横向振动马达(6)外观有特色，横握要舒服(7)周边配件丰富：游戏手柄、散热背夹大家还有啥要补充的？#黑鲨3# 关于专业游戏手机                                 ,无,无,无,2020-02-26 11:36,腾讯黑鲨3,75335,289,1938
