address	averagePriceTip	deliveryTimeTip	deliveryType	discounts2	distance	minPriceTip	monthSalesTip	mtWmPoiId	origin_shipping_fee_tip	picUrl	poiTypeIcon	poi_name	shippingFeeTip	shipping_time	shopName	status	statusDesc	wmPoiScore
"昌宁县田园镇达丙街西侧、环城北路南侧（茶艺坊17-7号）"		45分钟	1	"[ { ""info"" : ""满20减5;满60减10"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	2.2km	起送 ¥5	月售22	872510924410138		http://p0.meituan.net/waimaipoi/51f25724824fb43b45dc4d62a279d9df9381.jpg		昌宁人民医院	配送 ¥3	10:00-20:30	天麻竹荪鸡酸汤猪脚	3	休息中	0
"保山市昌宁县田园镇宝丰社区居民委员会南小区"	人均 ¥25	30分钟	1	"[ { ""info"" : ""满30减8;满50减10"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	853m	起送 ¥0	月售200	862941737261711		http://p0.meituan.net/waimaipoi/c7d5182768abddd8d2a6a7f8b40a443f23726.jpg		昌宁人民医院	配送 ¥3	00:00-04:00,19:30-23:59	姗姗烧烤	3	休息中	0
"云南省保山市昌宁县田园镇南小区农贸市场内"		30分钟	1		1.6km	起送 ¥0	月售100	1042166427594178		http://p0.meituan.net/waimaipoi/6071b6f0ea0f5600248b895f5b9f3d6829988.jpg		昌宁人民医院	配送 ¥3	00:00-04:00,20:00-23:59	啊实地烧烤	3	休息中	0
"清真街11号"		30分钟	1		541m	起送 ¥0	月售32	985515808941424		http://p1.meituan.net/waimaipoi/c66e4260d2c3e64f7e296a8263cc6b5729276.jpg		昌宁人民医院	配送 ¥3	00:00-03:30,07:00-23:59	温泉老姨妈泡鸡脚	3	休息中	0
"达丙街十字路口"		30分钟	1	"[ { ""info"" : ""满10减1;满20减2;满30减3;满40减4"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""领3元券"", ""iconUrl"" : ""http://p1.meituan.net/activityconfig/3fc360f1c726e7148380f4c77fa303fd1475.png"", ""promotionType"" : 2, ""activityId"" : 103 } ]"	1.8km	起送 ¥0	月售400	913128430127861		http://p0.meituan.net/waimaipoi/a14b8900376f74edb29e5ec814da7cbd18432.jpg		昌宁人民医院	配送 ¥3	07:00-19:30	天津狗不理	3	休息中	43
"保山市昌宁县田园镇兴宁街91号"		30分钟	1	"[ { ""info"" : ""满20减6;满40减12"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	659m	起送 ¥0	月售54	1003627686008964		http://p1.meituan.net/waimaipoi/5cd0c454e6303314df23c7bedc5e59e1387072.jpg		昌宁人民医院	配送 ¥3	00:00-01:00,07:00-15:00,18:00-23:59	保山腌鸡米线	3	休息中	0
"田园镇文昌路北侧"		30分钟	1	"[ { ""info"" : ""满20减2;满30减3"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.4km	起送 ¥10	月售400	871806549805700		http://p0.meituan.net/waimaipoi/5d240b84ba60c20e632565b75ed276be42921.jpg		昌宁人民医院	配送 ¥3	08:00-17:30	小城大吃	3	休息中	49
"田园镇右文社区二甲村民小组"		30分钟	1	"[ { ""info"" : ""满30减6;满60减12"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品8折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	1.8km	起送 ¥0	月售100	975890787239298		http://p1.meituan.net/waimaipoi/6b6a3f9378efab383c84056267d9394225695.jpg		昌宁人民医院	配送 ¥3	00:00-04:00,08:00-23:59	香辣虾烤鱼（昌宁店）	3	休息中	0
"田园镇宝丰路"		30分钟	1	"[ { ""info"" : ""满50减5;满100减10"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.2km	起送 ¥0	月售64	1102055451559842		http://p0.meituan.net/waimaipoi/b0fd08a46d3dea7d9ee42948cf6020e030462.jpg		昌宁人民医院	配送 ¥3	00:00-03:30,07:50-23:59	同福烧烤（小肉串）	3	休息中	0
"云南省保山市昌宁县田园镇山水田苑22-9"		30分钟	1		495m	起送 ¥0	月售26	1088092512882422		http://p1.meituan.net/waimaipoi/28bff066de16ab48f114b9074861244e43082.jpg		昌宁人民医院	配送 ¥3	10:00-20:00	柠檬初上	3	休息中	0
