职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['心理学老师（情商训练师）'],['4.5-8.5千/月'],['西安晨帆教育科技有限公司'],['民营公司 | 少于50人 | 教育/培训/院校'],['上班地址 : 高新区唐延路1号旺座国际C座3层龅牙兔儿童情商乐园'],['西安-雁塔区'],['1年经验'],['本科'],['2人'],['2020-04-01'],
['医学/心理学技术开发'],['4-8千/月'],['杭州心景科技有限公司'],['民营公司 | 50-150人 | 计算机软件 医疗设备/器械'],['上班地址 : 浙江省.杭州市.滨江区.聚业路26号金绣国际中心A座1501室'],['杭州-滨江区'],['本科'],[],['2人'],['2020-04-01'],
