Address,Price,livingArea,bedrooms,bathroom
['1447 Akridge St NW'],['1800'],"['1360', '1360', '\\""1', 'null', '975', '945', '1650', '1450', '1638', '1519', 'null']","['2', '2', '2', 'null', '3', '2', '3', '3', 'null', '3', 'null']","['2', '2', '2', 'null', '2', '1', '2', 'null', '2', '2', 'null']"
['1543 Hardin Ave'],['750'],"['null', 'null', 'null', 'null', 'null', '1470', '1821', '1597', '1080', '5400', '1190', '1305']","['1', '1', '1', '2', '1', '1', '3', '4', '3', '2', '6', '3', '3']","['1', '1', '1', '1', '1', '1', '2.5', '3', '2.5', '1', '5.5', '2.5', '2']"
['939 Piedmont Ave NE'],['2100'],"['1050', '1050', '\\""1', '1100', '1100', 'null', 'null', '804', '1234', '963', 'null', '800', '950', '5500', '1100', '2500', '1900', '964', '958']","['2', '2', '2', '2', '2', '1', '2', '1', '2', '2', '1', '1', '2', '8', '2', '3', '3', '2', '2']","['1', '1', '1', '1', '1', '1', '2', '1', '2', '1.5', '1', '1', '1', '6', '1', '3', '2', '1.5', '2']"
['228 Powell St SE'],['1695'],"['null', 'null', '900', '879', '640', '800', '708', '718', '713', '782', '3576', '1484', '1504', '1560', '650', '2363', '2200', '1850']","['1', '1', '1', '2', '2', '1', '1', '1', '1', '1', '1', '1', '0', '2', '2', '1', '4', '3', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1.5', 'null', '2', '2', '1', '2', '3', '1']"
['1849 Broad River Rd'],['1595'],"['1530', '1530', '\\""1', '1530', '1530', '1530', '1530', '1530', '1530', '1530', '1530']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5']"
['1052 Dickson Pl NE'],['3400'],"['null', 'null', '1190', '1190', '1152', '1152', '1152', '1152', '1152', '1276', 'null', '1800', 'null', 'null', '1300', 'null', 'null', 'null']","['3', '3', '3', '3', '3', '2', '2', '2', '2', '2', '2', '2', '2', 'null', 'null', '2', 'null', '0', '2']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1', 'null', 'null', 'null', 'null', 'null', '2']"
['2175 Lenox Rd NE'],['1500'],"['800', '800', '\\""800 sqft\\""', '900', '763', '800', '800', '1111', '736', '1111', '1251', 'null', 'null', '1350', 'null', '820', '2700', '1100', '1100']","['2', '2', '2', '2', '1', '2', '2', '2', '1', '2', '2', 'null', 'null', '2', 'null', '2', '3', '2', '2']","['1', '1', '1', '1', '1', '1', '1', '2', '1', '2', '2', 'null', 'null', '2', 'null', '1', '2', '1', '1']"
['890 Greenwood Ave NE'],['1050'],"['700', '700', '\\""700 sqft\\""', '600', 'null', '435', '700', '680', '800', '900', '900', '700', '700', '700', '650', '725', '725', '700', '700']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['271 Glen Iris Dr NE'],['1400'],"['850', '850', '\\""850 sqft\\""', '750', '750', '750', 'null', '721', 'null', '759', '773', '850', '800', '850', 'null', '850', '850', '850', '800']","['2', '2', '2', '2', '2', '2', '2', '1', '2', '1', '1', '2', '2', '2', 'null', '2', '2', '2', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '1', '1', '1']"
['35 Ormond St'],['1200'],"['700', '700', '\\""700 sqft\\""', '630', '630', '630', '630', '800', '1000', 'null', '630', '630', '630', '1300', 'null', '1503', 'null']","['1', '1', '1', '1', '1', '1', '1', '2', '3', 'null', '1', '1', '1', '3', '3', '4', 'null']","['1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '1', '1', '2', '2', '2', 'null']"
['3150 Woodwalk Dr SE'],[],"['1288', '1288', 'null', '1209', '1209', '1593', 'null', '1209', '1593', '2708', '2784', '1593', '3438', '1209', '1209', '1593', '1593']","['2', '2', '3', '2', '2', '3', '3', '2', '3', '3', '3', '3', '4', '2', '2', '3', '3']","['2', '2', '3.5', '2', '2', '2', '2', '2', '2', '3.5', '4', '2', '3.5', '2', '2', '2', '2']"
['291 Oxford Pl NE'],['1650'],"['1000', '1000', '\\""1', '875', '800', '600', '1008', '864', '940', '963', '1100', '1801', '4186', '900']","['2', '2', '2', '2', '1', '1', '2', '2', '2', '2', '2', 'null', '4', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '3', '1']"
['Chadsford Rd SE'],['1150'],"['1292', '1292', '\\""1', '1160', '1340', '1340', '1340', '1340', '1200', '1340', '1135', 'null', '1622', '1320', '1320', '1426', '1622', '1292', '1295']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', 'null', '2', '2', '2', '2', '2', '2', '2']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', 'null', '3', '2', '2', '2.5', '2.5', '2', '2']"
['123 Saine Rd'],['1050'],"['null', 'null', '2044', '2036', '1772', '2036', '1920', '2036', '1997', '2036']","['2', '2', '2', '3', '3', '3', '3', '3', '3', '4', '3']","['1.5', '1.5', '2', '3', '3', '3', '3', '3', '3', '3', '3']"
['212 Berean Ave Se'],['1750'],"['879', '879', '\\""879 sqft\\""', 'null', '900', '1050', '800', '801', '709', '708', '709', '879', '879', '879', '879', '879', '879', '879', '879']","['2', '2', '2', '1', '2', '2', '1', '1', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '2']","['1', '1', '1', '1', '1', '1.5', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['865 Moreland Ave SE'],['1850'],"['1200', '1200', '\\""1', '1881', '1425', '1596', '1804', '1653', '2266', '1050', '1984']","['2', '2', '2', '3', '2', '3', '3', '3', '3', '2', '3']","['2', '2', '2', '3', '1', '1', '2', '2', '3', '1', '2']"
['3321 Myrtle St'],['895'],"['1075', '1075', '\\""1', '1592', '650', '1550', '1550', '1075', '1075', '2150', '928', '2034', '1708', '1251', '1843']","['2', '2', '2', '2', '1', '2', '2', '1', '2', '3', '2', '6', '2', '3', '2']","['2', '2', '2', '1', '1', '1', '1', '1', '2', '2', '1', '2', '1', '2', '3']"
['Monroe Dr NE'],['2500'],"['1250', '1250', '\\""1', '1850', '1450', '1050', '1200', '950', '1500', '800', '950', '2900', '1051', '2872', 'null', '2288', '3998', '2964', '2710']","['2', '2', '2', '2', '2', '2', '2', '2', '1', '2', '2', '4', '2', '4', '1', '4', '5', '4', '5']","['1', '1', '1', '2', '2', '2', '1', '2', '1', '1', '2', '4', '2', '3', '1', '1.5', '4.5', '3', '1.5']"
['850 Fulton Ter SE'],['1925'],"['2104', '2104', '\\""2', '1500', '1171', '1301', '1301', '1301', '1301', '1301', '1150', '598', '842', '798', 'null', '884', '1068', '728', '1929']","['2', '2', '2', '1', '2', '2', '2', '2', '2', '2', '2', '1', '1', '2', 'null', '2', '2', '1', '2']","['1', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '1', '1', '1', 'null', '1', '1', '1', '1']"
['88 Lucy St SE'],['1295'],"['650', '650', '\\""650 sqft\\""', '550', 'null', '700', '721', '950', '721', '691', '738', '650', '1993', '960', '1360', '1350', '1100', '2132', 'null']","['1', '1', '1', '1', '2', '2', '1', '2', '1', '1', '1', '1', '4', '3', '3', '3', '3', '4', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2.5', '2', '2', '2', '2', '2.5', '1']"
['Melrose Ave'],['2200'],"['800', '800', '\\""800 sqft\\""', '800', '3164', '3345', '1900', '1256', '1269', '1132', '1070', '1716']","['2', '2', '2', '2', '1', '4', '3', '2', '2', '4', '2', '3']","['1', '1', '1', '1', '1', '4', '3', '1', '1', '4', '1', '3']"
['243 Iswald St SE'],['1800'],"['1050', '1050', '\\""1', '879', '900', 'null', '1125', '1234', '800', '1076', '1031', '2126', '1280', '2030', 'null', '1638', '1929', '872', '1277']","['2', '2', '2', '2', '2', '1', '2', '2', '1', '2', '2', '3', '3', '4', '1', '2', '4', '1', '1']","['1.5', '1.5', '2', '1', '1', '1', '2', '2', '1', '2', '2', '4', '1', '2.5', '1', '1', '4', '1', '1']"
['1001 Blue Ridge Ave NE'],['1950'],"['850', '850', '\\""850 sqft\\""', '850', '640', '750', '900', '725', '750', 'null', '900', '3348', '1494', '1552', '1694', '3462', '1839', '1632', '2260']","['1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '5', '3', '3', '2', '4', '4', '2', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '4', '1', '1', '1', '4', '2', '2', '3']"
['455 Atlanta Ave SE'],['1600'],"['870', '870', '\\""870 sqft\\""', '870', '1000', '845', '845', '772', '772', '780', '772', '870', '870', '2481', '1824', '2880', '1740', '870', '1128']","['2', '2', '2', '3', '3', '1', '1', '1', '1', '1', '1', '2', '2', '3', '3', '4', '6', '3', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '3', '4', '3', '1', '1']"
['601 Hamilton E Holmes Dr NW'],['815'],"['1928', '1928', '\\""1', 'null', '700', 'null', 'null', '1928', 'null', '592', '2368', 'null']","['1', '1', '1', '3', '2', '3', '3', '1', '1', '1', '4', 'null']","['1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '2', 'null']"
['422 9th St NE'],['1550'],"['850', '850', '\\""850 sqft\\""', '900', '1000', '800', '800', '800', '832', '873', '689', 'null', '1200', '1850', '1850', '1491', '2664', '4000', '1800']","['1', '1', '1', '1', '2', '1', '1', '2', '1', '1', '1', 'null', '2', '3', '3', '2', '3', '9', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '2', '2', '1', '3', '8', '2']"
['215 Piedmont Ave NE'],['2400'],"['1075', '1075', '\\""1', '1075', '970', '1191', '1091', '576', '970', '910', '734', '931', '850', '931', '1256', '931', '1075', '931', '700']","['1', '1', '1', '1', '2', '2', '2', '1', '2', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1']","['1', '1', '1', '1', '2', '2', '2', '1', '2', '2', '1', '1', '1', '1', '2', '1', '1', '1', '1']"
['559 Pryor St SW'],['1700'],"['1250', '1250', '\\""1', '1250', '1250', '4089', '1606', '1250', '1606', '1606', '1250']","['2', '2', '2', '2', '2', '6', '3', '2', '3', '3', '1']","['2', '2', '2', '2', '1', '6', '2.5', '2.5', '2.5', '2.5', '2']"
['Lynfield Ct SW'],['1050'],"['1000', '1000', '\\""1', '1824', 'null', '2326', '2484', '1624', '2504', '1856', '1804']","['1', '1', '1', '4', 'null', '4', '4', '5', '1', '4', '3']","['1', '1', '1', '4', 'null', '2.5', '3.5', '3', '1', '2.5', '2']"
['300 Peachtree St NE'],['2000'],"['750', '750', '\\""750 sqft\\""', '677', '677', '1127', '750', '1075', '823', '1100', '1044', '387', '628', 'null', '625', '677', '625', '625', '700']","['2', '2', '2', '1', '1', '2', '1', '2', '1', '2', '2', '1', '1', 'null', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '2', '1', '2', '1', '2', '2', '1', '1', 'null', '1', '1', '1', '1', '1']"
['141 Marble Mill Rd NW'],['1650'],"['1400', '1400', '\\""1', '1040', '1308', '1848', '1231', '11251', '1120', '1400', 'null', '1144']","['2', '2', '2', '2', '2', '3', '2', '2', '1', '2', 'null', '3']","['2', '2', '2', 'null', '2', '1', '1', '1', '1', '2', 'null', '1']"
['1445 Clairmont Rd'],['845'],"['null', 'null', '769', '769', '993', '769', '769', '1177', '1177', '670', '2011', '1694', '2601', '1719', '1548', '1858', '1709', '1562']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '3', '3', '3', '3', '2', '3', '3']","['1', '1', '1', '1', '1', '1', '1', '1', '1.5', '1.5', '1', '2', '2', '3', '2', '2', '2', '3', '2']"
['950 W Peachtree St NW'],['2450'],"['1260', '1260', '\\""1', '1091', '1085', '1271', '1101', '1101', '1280', '1278', '1216', '1196', '866', '1260', '1260', '1196', '1091', '768', '866']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1', '2', '2', '2', '2', '1', '1']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1', '2', '2', '2', '2', '1', '1']"
['Bellemeade Way SW'],['1500'],"['1400', '1400', '\\""1', '1200', '960', '1000', '1200', '1100', '1300', '1400', '1300', '1600', '1400']","['3', '3', '3', '2', '2', '2', '2', '2', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '1.5', '1', '2', '1.5', '2', '2', '2', '2', '2']"
['183 Degress Ave NE'],['2375'],"['1150', '1150', '\\""1', '1135', '1144', '1199', '1199', '1199', '1199', '1138', '1131', '1359', '2276', '1465', '1190', '1250', '1020', '1190', '1190']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '0', '3', '2', '3', '3', '3', '2', '2']","['1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '2', 'null', '3', '3', '4', '3.5', '3', '2.5', '2.5']"
['2044 Dekalb Ave NE'],['1125'],"['875', '875', '\\""875 sqft\\""', '1000', '600', '800', '865', '1152', '550', '1948', '1263', '875', '875', '875']","['2', '2', '2', '2', '1', '1', '2', '3', '1', '3', 'null', '2', '2', '2']","['1', '1', '1', '1', '1', '1', '1', '2', '1', '2.5', '0.5', '1', '1', '1']"
['594 Parkway Dr NE'],['1800'],"['950', '950', '\\""950 sqft\\""', '1243', '1294', '960', '1200', '1015', 'null', '1130', '1130', '1294', '750', '2938', 'null', 'null', '700', '1000', 'null']","['2', '2', '2', '2', '3', '2', '3', '2', '1', '1', '1', '3', '1', '5', '2', '3', '1', '1', '1']","['1', '1', '1', '2', '2', '2', '2', '2', '1', '1', '1', '2', '1', '2', '1', '2', '1', '1', '1']"
['204 Walker St SW'],['2500'],"['1541', '1541', '\\""1', '1363', '2900', '1500', '1200', '1007', '1164', '1106', '2389', '1462', '1725', '1470', '1155', '1462', '1370', '1352', '1176']","['2', '2', '2', '2', '2', '2', '1', '2', '1', '1', '2', '2', '2', '2', '1', '2', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '1', '1']"
['64 Adrian Pl NW'],['1580'],"['1157', '1157', '\\""1', '1373', '1373', '1373', '1373', '1373', '1366', '1632', '1366', '1300', '1200', '1200', '1200', '1300', '1298', '1300', '1500']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '3', '2', '2', '2', '2', '2', '2', '2', '2', '3']","['2', '2', '2', '2.5', '2.5', '2.5', '2.5', '2.5', '2', '2', '2', '3', '2', '2', '2', '2.5', '2.5', '2.5', '2']"
['Briarcliff Rd NE'],['1100'],"['null', 'null', '875', 'null', '448', '400', '900', '550', '800', '800', 'null', '1300', '1300', '9000', '1200', '1200', '2990', '681']","['0', '0', '0', '2', '1', '1', '2', '1', '1', '1', '1', '4', '3', '2', '4', '2', '2', '5', '7']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3.5', '2', '2', '4', '2', '1', '3', '2']"
['955 Juniper St NE'],['1975'],"['1234', '1234', '\\""1', 'null', '1100', '1050', '1100', '1400', 'null', '963', '730', '1027', '675', '1134', 'null', '1181', '675', '1134', '1200']","['2', '2', '2', '2', '2', '2', '2', '1', '1', '2', '1', '2', '1', '2', 'null', '2', '1', '2', '2']","['2', '2', '2', '2', '1', '1', '1', '2', '1', '1.5', '1', '1', '1', '2', 'null', '2', '1', '2', '2']"
['6050 Oak Bend Ct'],['1425'],"['1500', '1500', '\\""1', 'null', 'null', 'null', 'null', 'null', 'null', 'null', 'null']","['3', '3', '3', '3', 'null', '3', 'null', 'null', '3', 'null', 'null']","['2.5', '2.5', '3', '3', 'null', '3', 'null', 'null', '3', 'null', 'null']"
['103 Chester Ave SE'],['1600'],"['600', '600', '\\""600 sqft\\""', '675', '718', '648', '718', '811', '648', '708', 'null', '625', '1053', 'null', '1053', '600', '1053', '1053', '1053']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '2', '1', '2', '2', '0']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '2', '1', '2', '2', 'null']"
['53 Hogue St NE'],['1250'],"['550', '550', '\\""550 sqft\\""', '950', '650', '738', '709', '792', '693', '693', '693', '550', 'null', '550', '1350', '1382', 'null', 'null', 'null']","['1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '0', '1', '2', '2', 'null', 'null', 'null']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '2', '2', 'null', 'null', 'null']"
['1579 Vesta Ave'],['1295'],"['1275', '1275', '\\""1', '1631', '1326', '2200', '1384', '1858', '1503', '1442', '1508']","['2', '2', '2', '3', '3', '3', '0', '3', '3', '3', '5']","['2', '2', '2', '2', '1.5', '2', '2', '2', '2', '2', '1']"
['2169 Miriam Ln'],['950'],"['null', 'null', '1417', '1630', '750', '1590', '1359', '1142', '1082', '1520']","['2', '2', '2', '3', '3', '2', '3', '3', '3', '3', '2']","['1', '1', '1', '2', '2', '1', '2', '1.5', '1', '1', '1']"
['870 Mayson Turner Rd NW'],['1350'],"['768', '768', '\\""768 sqft\\""', 'null', 'null', '616', '1000', '768', '1000', '1000', '1082', '768', '1094', '1089']","['2', '2', '2', '3', '3', '1', '1', '1', '1', '2', '2', '1', '2', '2']","['2', '2', '2', '2', '3.5', '1', '1', '1', '1', '1', '2', '1', '2', '2']"
['1361 Beecher St SW'],['1350'],"['1400', '1400', '\\""1', '1084', '1440', '1656', '1684', '1590', '1874', '1792', '2858', '1424', '1532']","['2', '2', '2', '2', '3', '0', '3', '4', '3', '3', '6', '3', '3']","['1', '1', '1', '1.5', '2', 'null', '2', '2', '3', '2', '4', '2', '2']"
['1731 Pryor Rd SW'],['1400'],"['1470', '1470', '\\""1', '835', '1644', '805', '1470', '1336', '1470', '1300', '1656', '1300', '1655', '1226']","['3', '3', '3', '1', '3', '1', '3', '3', '3', '2', '3', '2', '3', '2']","['2.5', '2.5', '3', '1', '3.5', '1', '2.5', '2.5', '2.5', '2.5', '3', '2.5', '3.5', '2.5']"
['631 Holderness St SW'],['1195'],"['1084', '1084', '\\""1', 'null', '1400', '1084', '1184', '1150', '1250', '2040', '1607', 'null', '1395']","['2', '2', '2', '1', '2', '2', '2', '2', '2', '3', '3', '1', '3']","['1.5', '1.5', '2', '1', '1', '1', '1', '1.5', '1.5', '2', '2', '1', '1']"
['Moury Ave SE'],['1500'],"['null', 'null', '936', '1656', '2200', '1400', '1808', '1456', '1075', 'null']","['1', '1', '1', '3', '4', '3', '3', '4', '2', '0', 'null']","['1', '1', '1', '2', '2', '2.5', '1', '3', '1', 'null', 'null']"
['435 Highland Ave NE'],['1800'],"['967', '967', '\\""967 sqft\\""', '937', '1078', '965', '1058', '1058', '1058', '1220', '1072', '796', '693', '1078', '989', '693', '693', '693', '693']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1', '1', '2', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '2', '1', '2', '2', '2', '2', '1', '1', '1', '2', '1', '1', '1', '1', '1']"
['493 N Highland Ave NE'],['1325'],"['750', '750', '\\""750 sqft\\""', '900', 'null', '750', '561', '800', '400', '1200', '850', '750', '800', 'null', '1792', '3100', '900', '2130', '700']","['2', '2', '2', '1', '1', '1', '1', '2', '2', '2', '2', '2', '2', 'null', '2', '5', '1', '4', '1']","['1.5', '1.5', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1.5', '1.5', 'null', '2', '4', '1', '3', '1']"
['161 Mangum St SW'],['2350'],"['2900', '2900', '\\""2', '1541', '1500', '2389', '3008', '1300', '1436', '2314', '1159', '2389', '1184', '1800', '2389']","['2', '2', '2', '2', '2', '2', '3', '1', '2', '1', '2', '2', '2', '2', '2']","['1', '1', '1', '1', '1', '2', '3', '1', '2', '1', '2', '2', '2', '1.5', '2']"
['565 Peachtree St NE'],['1700'],"['915', '915', '\\""915 sqft\\""', '712', '950', '734', '994', '587', '587', '1023', '901', '1135', '1480', '1480', '950', '915', 'null', '780', '930']","['1', '1', '1', '1', '1', '1', '2', '1', '1', '2', '1', '2', '2', '2', '1', '1', '1', '1', '2']","['1', '1', '1', '1', '1', '1', '2', '1', '1', '2', '1', '2', '2', '2', '1', '1', '1', '1', '1']"
['373 Moreland Ave NE'],['1300'],"['561', '561', '\\""561 sqft\\""', '800', 'null', '900', '750', 'null', '750', '825', '740', '561', '561', '561', '684', '600', '684', '442', '442']","['1', '1', '1', '2', '1', '1', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1.5', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['897 N Highland Ave NE'],['1250'],"['700', '700', '\\""700 sqft\\""', '800', 'null', '550', '650', 'null', '680', '900', '900', '585', '585', '585', '600', '585', '585', '585', '585']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['321 10th St NE'],['3500'],"['1700', '1700', '\\""1', '1600', '1464', '1175', '1276', '1326', '1190', '1326', '1190', '1200', 'null', 'null', '850', '850', '3888', '1500', '1024']","['2', '2', '2', '3', '2', '2', '2', '2', '3', '2', '3', '2', 'null', '1', '1', '1', '4', '2', '2']","['2', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2', '2', 'null', '1', '1', '1', '5', '1', '2']"
['1923 Shenandoah Valley Ln SE'],['1200'],"['1152', '1152', '\\""1', '700', '700', '1187', '740', '806', '806', '847', '1316', '1152', '1152', '1152', '1152', '1152', '1152', '1108', '1152']","['2', '2', '2', '1', '1', '2', '1', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '1', '2']","['1.5', '1.5', '2', '1', '1', '2', '1', '1', '1', '1', '2', '2', '1', '2', '1.5', '2', '2', '2', '2']"
['Thornbridge Dr'],['1500'],"['1608', '1608', '\\""1', '1588', 'null', '1578', '1534', '1578', '1578', '2188', '1534']","['3', '3', '3', '3', 'null', '3', '2', '3', '3', '4', '2']","['3', '3', '3', '2.5', 'null', '3', '3', '3', '3', '2.5', '3']"
['426 9th St NE'],['2400'],"['1200', '1200', '\\""1', '800', '800', '1800', '1000', '1400', '762', '1600', '850', '1850', '1850', '850', 'null', '1338', '950', '936', '1014']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '3', '1', '3', '3', '1', 'null', '2', '2', '2', '2']","['1', '1', '1', '2', '1', '2', '1', '2', '2', '2.5', '1', '2', '2', '1', 'null', '3', '1', '1.5', '2']"
['Tuckawanna Dr SW'],['1000'],"['400', '400', '\\""400 sqft\\""', '1414', '1712', '1639', '1551', '1665', '1640', '1836', '2510']","['0', '0', '0', '2', '3', '3', '3', '3', '2', '4', '4']","['1', '1', '1', '2', '2', '1.5', '2', '2', '1', '3', '3']"
['1507 N Ave Nw'],['1140'],"['700', '700', '\\""700 sqft\\""', 'null', 'null', 'null', 'null', 'null', '1472', '1620', '1610']","['1', '1', '1', 'null', 'null', 'null', 'null', 'null', '3', '3', '3']","['1', '1', '1', 'null', 'null', 'null', 'null', 'null', '3.5', '3.5', '3.5']"
['199 14th St NE'],['2100'],"['910', '910', '\\""910 sqft\\""', '1215', '1146', '1215', '1030', '1215', '1030', '1225', '1030', '533', '680', '805', '1103', '658', '1215', 'null', '805']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1', '1', '1', '2', '1', '2', '0', '1']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1', '1', '1', '2', '1', '2', 'null', '1']"
['Church St'],['1495'],"['1040', '1040', '\\""1', '1040', 'null', '746', '746', '746', '746', '746', '793', '685', 'null', '2548', '1040', '685', '685', '685', '3831']","['2', '2', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '3', '2', '1', '1', '1', '5']","['1.5', '1.5', '2', '1.5', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '4', '1.5', '1', '1', '1', '4']"
['221 Lampkin St NE'],['1400'],"['750', '750', '\\""750 sqft\\""', '750', '750', 'null', '850', 'null', '773', '773', '828', '750', '750', '750', 'null', '1400', 'null', '1500', '750']","['2', '2', '2', '2', '2', '2', '2', '2', '1', '1', '1', '2', '2', '2', '2', '2', '3', '3', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '2', '2', '1']"
['1254 Weatherstone Dr NE'],['1500'],"['1344', '1344', '\\""1', '1226', '1600', '1000', '1144', '1304', '1265', '1265', '1100', '1304', '1344', '1304', '1344', '1304', '1000', '3294', '1585']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '3', '5', '2']","['2', '2', '2', '1', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '4', '2.5']"
['1073 Cascade Rd SW'],['1100'],"['900', '900', '\\""900 sqft\\""', '1400', '1478', '850', 'null', '1324', 'null', 'null', 'null', '2068']","['1', '1', '1', '2', '0', '1', 'null', '3', 'null', 'null', 'null', '2']","['1', '1', '1', '2.5', 'null', '1', 'null', '2', 'null', 'null', 'null', '1']"
['497 Gartrell St SE'],['1600'],"['700', '700', '\\""700 sqft\\""', '800', '950', '709', '780', '708', '650', '801', '709', '750', '750', '750', '921', 'null', 'null', '1632', '1700']","['2', '2', '2', '1', '2', '1', '1', '1', '1', '1', '1', '2', '2', '2', '1', 'null', 'null', '2', '3']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', 'null', '2', '3']"
['1536 Beech Valley Way NE'],['2500'],"['1547', '1547', '\\""1', '1547', '1528', '2325', '2175', '2262', '1728', '1706', '1528', '1547', '1247', '1500', '2024', '1247', '1728', '2335', '3529']","['3', '3', '3', '3', '2', '2', '3', '3', '2', '2', '2', '3', 'null', '3', '4', 'null', '2', '6', '5']","['1.5', '1.5', '2', '2', '2.5', '2.5', '3.5', '2.5', '1', '2.5', '2.5', '2', '0.5', '2', '2', '0.5', '1', '2.5', '5']"
['177 12th St NE'],['1500'],"['null', 'null', '764', '764', 'null', 'null', '750', '750', 'null', '868', 'null', 'null', 'null', 'null', 'null', 'null', 'null', 'null']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['895 Pastel Dr SW'],['925'],"['960', '960', '\\""960 sqft\\""', '976', '960', '2176', '976', 'null', '992', '992', '992']","['2', '2', '2', '2', '2', '9', '2', '2', '2', '2', '2']","['1.5', '1.5', '2', '2.5', '1.5', '6', '1.5', '2', '2', '1.5', '1.5']"
['834 Barnett St NE'],['1250'],"['null', 'null', '700', '700', '680', '600', '435', '900', '900', '880', '1299', '1328', '820', '530', '820', '822', '828', '509']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '6', '2', '1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '1', '1', '1', '1', '1', '1', '1']"
